20 02:37:00.541  ALog   log file opened for pid=4715, previous log was not  rotated to /tmp/log/dataserver.log.old
20 02:37:00.572  ERROR main GUIDataServer Error messages will be logged.
20 02:37:00.573  WARN  main GUIDataServer Warning messages will be logged.
20 02:37:00.573  INFO  main GUIDataServer Info messages will be logged.
20 02:37:00.573  INFO  main GUIDataServer Found server port settings cmdline((null)) env(8195)
20 02:37:00.574  INFO  main GUIDataServer Setting server port from environment to: 8195
20 02:37:00.590  INFO  main GUIDataServer Current port: (8195) 
20 02:37:00.591  INFO  main GUIDataServer Setting log file for pDICfigMgr
20 02:37:31.047  INFO  main GUIDataServer Starting up GUI Data Server.
20 02:37:31.049  INFO  main ConnectionManager Setting up server socket on port 8195.
20 02:37:31.056  INFO  main ConnectionManager GUI Data server socket setup complete.
20 02:37:31.056  INFO  main GUIDataServer  Starting to listen for connections.
20 02:37:31.108  INFO  main DataIfaceMgr log has been initialized
20 02:37:31.109  INFO  main ConnectionHandler startProcessing: Starting to process requests in handler.
20 02:37:31.123  INFO  main ConnectionHandler run: Call to handler run method.
20 02:37:31.130  INFO  main DataIfaceMgr log has been initialized
20 02:37:31.131  INFO  main ConnectionHandler startProcessing: Starting to process requests in handler.
20 02:37:31.131  INFO  main ConnectionHandler nextRequest: request (1) http:::ffff:141.1.194.254 User= Type=0 Priv=0x0 length=50
20 02:37:31.145  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC trespass_message
20 02:37:31.146  INFO  main ConnectionHandler run: Call to handler run method.
20 02:37:31.147  INFO  main ConnectionHandler nextRequest: request (1) http:::ffff:141.1.194.254 User= Type=0 Priv=0x0 length=39
20 02:37:31.149  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/osinet/config/Global/HostName
20 02:37:31.149  INFO  main FuncIface getValue[381] Call Function trespass_message
20 02:37:31.172  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/config/timeout
20 02:37:33.503  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/config/httpsEnabled
20 02:37:33.506  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/status/cert_usable
20 02:37:33.524  INFO  main ConnectionHandler run: Completed processing request 1
20 02:37:34.616  INFO  main ConnectionHandler run: Completed processing request 1
20 02:40:25.476  INFO  main ConnectionHandler nextRequest: request (2) http:::ffff:141.1.194.254 User= Type=0 Priv=0x0 length=39
20 02:40:25.480  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/osinet/config/Global/HostName
20 02:40:25.553  INFO  main ConnectionHandler nextRequest: request (2) http:::ffff:141.1.194.254 User= Type=0 Priv=0x0 length=50
20 02:40:25.557  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC trespass_message
20 02:40:25.557  INFO  main FuncIface getValue[381] Call Function trespass_message
20 02:40:25.561  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/config/timeout
20 02:40:28.447  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/config/httpsEnabled
20 02:40:28.452  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/status/cert_usable
20 02:40:28.469  INFO  main ConnectionHandler run: Completed processing request 2
20 02:40:29.563  INFO  main ConnectionHandler run: Completed processing request 2
20 02:40:41.414  INFO  main ConnectionHandler nextRequest: request (3) http:::ffff:141.1.194.254 User= Type=0 Priv=0x0 length=39
20 02:40:41.417  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/osinet/config/Global/HostName
20 02:40:41.455  INFO  main ConnectionHandler nextRequest: request (3) http:::ffff:141.1.194.254 User= Type=0 Priv=0x0 length=50
20 02:40:41.457  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC trespass_message
20 02:40:41.458  INFO  main FuncIface getValue[381] Call Function trespass_message
20 02:40:41.479  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/config/timeout
20 02:40:41.877  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/config/httpsEnabled
20 02:40:41.880  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/WebGui/status/cert_usable
20 02:40:41.892  INFO  main ConnectionHandler run: Completed processing request 3
20 02:40:42.916  INFO  main ConnectionHandler run: Completed processing request 3
20 02:41:15.454  INFO  main ConnectionHandler nextRequest: request (4) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=37
20 02:41:15.476  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/osinet/config/Global/HostName
20 02:41:15.891  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/Server_Info/status/is_ite
20 02:41:16.621  INFO  main DataIfaceMgr getData[317] Calling SQLDB_FUNC SDCards_IsSDCardSupport
20 02:41:16.622  INFO  main SQLdbIface getValue[104] Call Function SDCards_IsSDCardSupport
20 02:41:16.622  INFO  main SDDB SD_Cardsget isSDCardSupport
20 02:41:16.623  INFO  main DataIfaceMgr getData[317] Calling SQLDB_FUNC raidlink_IsRaidSupport
20 02:41:16.624  INFO  main SQLdbIface getValue[104] Call Function raidlink_IsRaidSupport
20 02:41:16.670  INFO  main DataIfaceMgr getData[317] Calling SQLDB_FUNC raidlink_IsRaidAlertSupport
20 02:41:16.671  INFO  main SQLdbIface getValue[104] Call Function raidlink_IsRaidAlertSupport
20 02:41:16.689  INFO  main DataIfaceMgr getData[317] Calling SQLDB_FUNC pci_IsPCISupport
20 02:41:16.689  INFO  main SQLdbIface getValue[104] Call Function pci_IsPCISupport
20 02:41:16.705  INFO  main DataIfaceMgr getData[317] Calling SQLDB_FUNC pci_IsOOBFWUpdateSupport
20 02:41:16.719  INFO  main SQLdbIface getValue[104] Call Function pci_IsOOBFWUpdateSupport
20 02:41:16.743  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC SA_IsSASupport
20 02:41:16.743  INFO  main FuncIface getValue[381] Call Function SA_IsSASupport
20 02:41:16.753  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/SAMgr/config/acceptLicenseAgreement
20 02:41:18.010  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC Scal_IsScalSupport
20 02:41:18.011  INFO  main FuncIface getValue[381] Call Function Scal_IsScalSupport
20 02:41:18.019  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC Net_IsEncapsulation
20 02:41:18.019  INFO  main FuncIface getValue[381] Call Function Net_IsEncapsulation
20 02:41:18.030  INFO  main ConnectionHandler run: Completed processing request 4
20 02:41:18.092  INFO  main ConnectionHandler nextRequest: request (4) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:18.096  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC GetPowerCapabilities
20 02:41:18.096  INFO  main FuncIface getValue[381] Call Function GetPowerCapabilities
20 02:41:18.097  INFO  main FuncIface GetPowerCapabilities begin
20 02:41:18.099  INFO  main ConnectionHandler nextRequest: request (5) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=38
20 02:41:18.100  INFO  main FuncIface aim_config_get_bool bool_platform_is_blade=0 rc=1
20 02:41:18.106  INFO  main DataIfaceMgr getData[179] Calling ADAM_TABLE s/hw_health/hw_health_agr/index,type,count
20 02:41:18.113  INFO  main FuncIface IPMI_DoIPMICmd(2e 81 4d 4f 00 20 00 82 10 01 )->00 4d 4f 00 02 , rc=0
